UlykkeDato,FartøyNavn,UlykkeType,Breddegrad,Lengdegrad,AntallDød,AntallSkadet
2024-10-21 09:00:00,HYBRID TWO,Brann/Eksplosjon,69.03683,17.2715,,
2024-10-17 20:00:00,VÅGØY,Grunnstøting,62.983329999999995,6.833329999999999,,
2024-10-16 11:40:00,TRONDSKJÆR,Arbeidsulykke/Personulykke,69.516665,17.9,0.0,1.0
2024-10-18 22:40:00,SOGNDAL,Brann/Eksplosjon,60.383329999999994,5.3166649999999995,,
2024-10-16 05:19:00,MELKØY,Lekkasje,70.23333,21.78333,,
2024-10-16 22:30:00,KROSSØY 1,Annen ulykke,65.4,10.216664999999999,,
2024-10-17 19:00:00,EDVIN OLAI,Arbeidsulykke/Personulykke,66.89999999999999,13.633329999999999,0.0,1.0
2024-10-16 08:30:00,SEA STEAMER,Annen ulykke,57.58333,11.7,,
2024-10-17 00:00:00,SWAN TIDE,"Kontaktskade, Kaier, Broer etc",-12.399999999999999,130.766665,,
2024-10-17 01:50:00,ATLANTIC VIKING,Arbeidsulykke/Personulykke,71.28332999999999,19.966665,0.0,1.0
2024-10-17 06:26:00,ANDREA L,Arbeidsulykke/Personulykke,64.74999999999999,11.016664999999998,0.0,1.0
2024-10-15 04:00:00,SAGA POLARIS,Grunnstøting,63.03333,7.499999999999999,,
2024-10-14 18:40:00,BENJACO,Brann/Eksplosjon,59.516664999999996,0.43332999999999994,,
2024-10-18 10:35:00,SELJE,"Kontaktskade, Kaier, Broer etc",61.9,5.716664999999999,,
2024-10-18 09:05:00,STOKKAFJORD,"Kontaktskade, Kaier, Broer etc",65.83333,12.45,,
2024-10-17 00:00:00,TRITON,Grunnstøting,70.46666499999999,22.7,,
2024-10-16 10:00:00,DYKKERSERVICE 10,Arbeidsulykke/Personulykke,62.49999999999999,6.68333,0.0,1.0
2024-10-16 09:51:00,STORD,Brann/Eksplosjon,61.08333,5.5,,
2024-10-16 05:38:00,HOLMFOSS,Grunnstøting,67.63332999999999,12.716664999999999,,
2024-10-05 16:10:00,HAVILA POLLUX,Arbeidsulykke/Personulykke,64.23333,10.316664999999999,0.0,1.0
2024-10-15 07:30:00,MIRA AURORA,Arbeidsulykke/Personulykke,70.48333,29.933329999999998,0.0,1.0
2024-10-13 15:00:00,FOLLA,Arbeidsulykke/Personulykke,70.38332999999999,23.53333,0.0,1.0
2024-10-12 18:30:00,FOX OCEAN,Arbeidsulykke/Personulykke,60.516664999999996,4.966665,0.0,1.0
